	Match_ID	Status	Duration	Hero ID	Kills	Deaths	Assists	Player ID
0	4251364067	True	1840	17	8	2	9	145240635
1	4249938283	True	1812	26	4	7	6	145240635
2	4246190867	True	1881	17	9	5	4	145240635
3	4244690974	False	2928	41	15	8	16	145240635
4	4244653807	True	2204	17	12	1	11	145240635
5	4244623241	True	2302	17	9	5	13	145240635
6	4243064560	True	1934	99	4	7	3	145240635
7	4241589707	False	2073	26	5	4	13	145240635
8	4238006231	True	2849	50	6	14	18	145240635
9	4237893355	True	2447	17	7	3	3	145240635
10	4236089521	True	1967	41	6	6	11	145240635
11	4236024647	True	2454	41	7	11	14	145240635
12	4235702589	True	1434	85	3	9	8	145240635
13	4235573022	True	4020	41	30	8	23	145240635
14	4235335597	True	1762	50	6	14	12	145240635
15	4233961656	False	2159	8	3	2	5	145240635
16	4233510016	False	2807	41	16	9	15	145240635
17	4232368481	True	2520	63	3	10	8	145240635
18	4232261222	False	2001	48	2	6	3	145240635
19	4230513915	False	1738	48	8	2	10	145240635
20	4228592313	False	1361	26	2	10	8	145240635
21	4228508623	True	2459	48	9	5	10	145240635
22	4226957071	True	3118	67	19	5	29	145240635
23	4226869012	True	2987	64	9	12	20	145240635
24	4226822921	False	2336	96	8	2	22	145240635
25	4226655489	True	2496	53	11	9	12	145240635
26	4226447184	False	2866	17	15	8	18	145240635
27	4225446204	False	2038	36	11	7	24	145240635
28	4225394834	False	1515	112	8	6	3	145240635
29	4224370669	True	2609	36	6	6	22	145240635
30	4223439662	False	2349	6	7	4	9	145240635
31	4223161259	False	3738	14	12	11	24	145240635
32	4221610290	False	2968	96	14	10	16	145240635
33	4220143437	True	2179	2	10	4	14	145240635
34	4220105681	False	2651	33	4	5	18	145240635
35	4218738849	False	2549	6	9	5	21	145240635
36	4218686978	False	3044	20	2	7	26	145240635
37	4217190968	True	2071	17	8	7	10	145240635
38	4217162578	False	2236	54	5	7	13	145240635
39	4215247418	False	3543	17	15	8	20	145240635
40	4214021129	True	2551	5	2	9	15	145240635
41	4213965296	True	2442	5	5	8	16	145240635
42	4213915982	False	2636	5	4	8	23	145240635
43	4213886905	True	1390	50	2	3	14	145240635
44	4213762100	True	3984	5	3	14	27	145240635
45	4213715740	True	1822	5	8	5	15	145240635
46	4213647198	True	2514	17	4	9	6	145240635
