	0	1	2
0	205562158	2089	1799
1	171179990	3044	2770
2	95456680	2423	2397
3	121348167	772	854
4	205562158	2089	1799
5	151593943	1812	1566
6	195183065	1676	1562
7	223264319	1833	1807
