	Hero_ID	Last Played	Games	Win	With Games	With win	Against Games	Against Win	Player ID
110	107	0	0	0	14	4	18	11	145240635
111	113	0	0	0	7	3	6	3	145240635
112	89	0	0	0	13	7	15	7	145240635
113	119	0	0	0	16	3	14	8	145240635
114	120	0	0	0	29	10	11	6	145240635
115	121	0	0	0	7	2	7	5	145240635
116	44	1511279924	54	31	105	60	197	106	171873893
117	1	1515100971	50	26	63	25	116	69	171873893
118	8	1505490316	42	22	66	32	123	70	171873893
119	41	1502190534	36	24	32	19	42	26	171873893
120	47	1504112547	34	19	54	26	54	33	171873893
121	12	1500666772	34	14	18	7	54	27	171873893
122	106	1505495637	33	17	29	11	31	14	171873893
123	82	1489914226	33	17	17	4	19	13	171873893
124	18	1500404641	32	17	72	47	92	47	171873893
125	109	1502550632	27	11	15	7	23	11	171873893
126	15	1487751540	27	18	23	11	29	17	171873893
127	104	1492172627	25	12	76	39	134	86	171873893
128	54	1489064536	25	12	49	28	74	33	171873893
129	81	1501264648	25	15	24	14	36	17	171873893
130	76	1505503220	24	16	31	17	35	19	171873893
131	95	1489256272	24	19	22	12	41	20	171873893
132	11	1488979559	23	9	52	29	101	49	171873893
133	6	1488888051	23	14	72	34	117	58	171873893
134	67	1516272906	21	13	24	15	52	20	171873893
135	23	1500662621	21	8	32	16	60	33	171873893
136	49	1492103312	20	12	27	12	37	17	171873893
137	102	1484388968	19	14	35	24	35	14	171873893
138	77	1488368554	19	11	11	6	10	4	171873893
139	48	1501956614	18	14	35	22	55	23	171873893
140	9	1502743735	18	9	65	38	125	67	171873893
141	93	1488439155	17	10	70	29	113	46	171873893
142	42	1489253636	17	7	51	37	90	39	171873893
143	35	1502547120	16	9	105	49	196	96	171873893
144	46	1516350598	15	5	17	6	28	17	171873893
145	74	1507276927	15	7	178	94	133	82	171873893
146	32	1505513267	15	8	70	38	127	59	171873893
147	10	1488546158	15	9	22	11	32	20	171873893
148	98	1515096805	15	7	32	13	54	34	171873893
149	34	1488664038	14	4	36	15	40	24	171873893
150	28	1515112010	12	6	84	47	84	46	171873893
151	70	1505509988	12	5	32	14	47	21	171873893
152	59	1485022167	12	8	60	35	51	30	171873893
153	69	1491722039	12	8	12	3	10	5	171873893
154	14	1487153056	12	5	156	89	213	109	171873893
155	99	1500399285	11	5	92	48	71	30	171873893
156	21	1505506701	11	4	73	36	93	52	171873893
157	2	1488203417	11	4	91	48	92	41	171873893
158	73	1488273670	10	6	35	18	58	21	171873893
159	56	1489840031	10	4	34	12	42	35	171873893
160	72	1498930213	9	3	26	13	32	17	171873893
161	60	1478695139	9	6	17	8	23	11	171873893
162	20	1504120515	9	4	45	27	61	32	171873893
163	4	1514942913	9	4	53	27	78	47	171873893
164	94	1488538339	9	8	22	11	38	19	171873893
165	62	1473246599	8	1	44	26	67	34	171873893
166	114	1516277295	7	4	20	14	39	19	171873893
167	53	1481487916	7	2	32	19	39	25	171873893
168	89	1489849019	7	5	7	3	19	15	171873893
169	19	1487755072	7	3	44	21	53	29	171873893
170	71	1515107413	7	4	47	32	67	39	171873893
171	63	1488524786	6	2	22	11	50	31	171873893
172	100	1464965153	6	2	28	13	37	22	171873893
173	29	1515090194	6	3	62	30	29	12	171873893
174	43	1490426549	6	5	22	9	27	18	171873893
175	17	1488630486	5	4	30	14	45	25	171873893
176	80	1488529436	5	2	13	7	10	5	171873893
177	36	1507273241	4	1	113	76	68	27	171873893
178	75	1500401624	4	2	74	50	52	24	171873893
179	85	1490092319	4	3	15	9	24	10	171873893
180	26	1464424494	3	2	111	64	81	47	171873893
181	7	1488263990	3	0	112	67	82	38	171873893
182	39	1505498980	3	2	30	9	41	24	171873893
183	113	1488460081	2	0	12	4	7	3	171873893
184	40	1504123827	2	1	42	22	33	19	171873893
185	57	1488542769	2	0	38	22	65	31	171873893
186	78	1460028706	2	1	12	3	8	4	171873893
187	22	1507269019	2	0	65	41	69	32	171873893
188	25	1504109352	2	1	37	22	56	34	171873893
189	27	1492424815	2	1	29	10	39	18	171873893
190	30	1490008062	1	0	55	27	58	28	171873893
191	90	1490008765	1	0	15	11	29	15	171873893
192	88	1502444191	1	0	19	9	32	21	171873893
193	86	1498923234	1	1	41	21	49	37	171873893
194	79	1433579462	1	1	8	4	15	11	171873893
195	96	1515103971	1	1	35	18	39	23	171873893
196	92	1483011781	1	0	2	1	3	1	171873893
197	16	1490013849	1	0	110	58	59	25	171873893
198	33	1490020927	1	1	22	9	24	8	171873893
199	58	1453181282	1	0	10	3	24	13	171873893
200	112	1448263604	1	0	10	5	25	14	171873893
201	45	1489755835	1	1	22	10	24	16	171873893
202	84	0	0	0	46	21	54	30	171873893
203	64	0	0	0	28	17	14	9	171873893
204	65	0	0	0	19	8	26	15	171873893
205	91	0	0	0	13	4	14	8	171873893
206	66	0	0	0	2	1	8	4	171873893
207	50	0	0	0	70	35	42	20	171873893
208	68	0	0	0	31	11	32	18	171873893
209	38	0	0	0	10	4	15	9	171873893
210	37	0	0	0	34	21	22	12	171873893
211	97	0	0	0	22	12	33	19	171873893
212	61	0	0	0	7	4	17	11	171873893
213	83	0	0	0	22	13	23	7	171873893
214	52	0	0	0	12	4	14	9	171873893
215	101	0	0	0	40	20	23	10	171873893
216	13	0	0	0	27	9	28	14	171873893
217	103	0	0	0	7	4	9	6	171873893
218	55	0	0	0	12	6	20	13	171873893
219	105	0	0	0	18	8	20	12	171873893
220	5	0	0	0	64	33	76	45	171873893
221	107	0	0	0	7	3	16	8	171873893
222	108	0	0	0	12	8	20	13	171873893
223	3	0	0	0	27	13	15	10	171873893
224	110	0	0	0	9	4	18	10	171873893
225	111	0	0	0	6	4	12	4	171873893
226	51	0	0	0	30	19	22	10	171873893
227	87	0	0	0	18	10	33	18	171873893
228	31	0	0	0	47	31	28	13	171873893
229	119	0	0	0	0	0	0	0	171873893
230	120	0	0	0	0	0	0	0	171873893
231	121	0	0	0	0	0	0	0	171873893
232	74	1511461338	83	34	122	50	184	81	207111394
233	98	1512077709	57	29	69	34	74	35	207111394
234	2	1512220698	53	34	81	39	90	47	207111394
235	41	1485856591	42	21	59	27	72	33	207111394
236	34	1512130675	39	14	57	33	71	37	207111394
237	9	1486575729	39	15	98	52	185	101	207111394
238	93	1488074839	38	21	136	61	115	55	207111394
239	8	1486925340	38	22	148	80	159	76	207111394
240	1	1510725097	37	23	94	53	103	57	207111394
241	17	1486369792	28	19	66	34	61	35	207111394
242	16	1510950200	28	11	54	28	68	36	207111394
243	107	1511368523	24	11	21	7	20	10	207111394
244	84	1512084319	23	14	76	45	79	42	207111394
245	11	1487313110	22	11	66	28	102	51	207111394
246	13	1510557754	22	10	14	5	40	22	207111394
247	28	1512068954	22	8	62	32	105	58	207111394
248	14	1512217878	21	12	190	93	194	82	207111394
249	21	1485469856	20	8	89	46	107	65	207111394
250	75	1511501051	20	9	48	24	79	39	207111394
251	49	1486805534	20	12	29	19	42	23	207111394
252	106	1486476412	19	12	36	15	59	30	207111394
253	10	1484067913	19	7	43	22	67	36	207111394
254	23	1511772614	19	7	54	31	55	27	207111394
255	65	1487141917	18	6	14	5	21	12	207111394
256	62	1512057516	17	14	54	31	71	37	207111394
257	7	1511417340	16	7	84	40	134	64	207111394
258	18	1511234507	16	11	100	54	103	50	207111394
259	79	1510665003	15	10	25	14	31	14	207111394
260	60	1511869716	14	8	38	17	29	12	207111394
