	Match_ID	Status	Duration	Hero ID	Kills	Deaths	Assists	Player ID
0	4251416207	True	3000	41	9	9	7	336333581
1	4248247447	True	3055	67	8	8	21	336333581
2	4245771883	True	1824	6	1	10	4	336333581
3	4245694068	False	2380	41	14	5	17	336333581
4	4244267132	True	2586	26	2	15	8	336333581
5	4242746772	False	1911	96	3	7	11	336333581
6	4241244104	True	3084	41	11	16	19	336333581
7	4241188548	True	2044	67	18	4	19	336333581
8	4239278810	True	1904	41	11	0	10	336333581
9	4238791846	True	2511	93	7	7	13	336333581
10	4237539111	False	1271	78	1	5	0	336333581
11	4237468548	False	1725	10	0	4	1	336333581
12	4237391443	True	1862	67	8	6	12	336333581
13	4236723973	False	1952	64	1	11	6	336333581
14	4236616176	True	2789	71	6	12	17	336333581
15	4236525004	False	2840	64	5	6	30	336333581
16	4235429086	True	2356	10	15	3	2	336333581
17	4235103461	False	2824	64	1	12	13	336333581
18	4234635146	False	2181	64	2	13	14	336333581
19	4234577271	False	2094	25	6	7	9	336333581
20	4234528393	False	1842	64	4	4	20	336333581
21	4234471699	True	2307	64	3	8	16	336333581
22	4233755176	True	1876	64	4	7	17	336333581
23	4233695716	True	1853	64	4	11	7	336333581
24	4233404791	False	2805	64	7	15	15	336333581
25	4233305358	True	2525	64	10	2	20	336333581
26	4233056921	False	2874	64	7	11	22	336333581
27	4232966809	False	2389	64	9	5	17	336333581
28	4232902883	True	1766	41	5	10	1	336333581
29	4232790000	True	3045	6	4	5	25	336333581
30	4232729168	False	2500	41	18	5	12	336333581
31	4232682625	False	1938	75	1	7	21	336333581
32	4232616959	False	2696	41	10	6	7	336333581
33	4232554813	False	3003	6	9	3	15	336333581
34	4230257573	False	3175	41	11	5	10	336333581
35	4230166186	True	1993	103	0	13	1	336333581
36	4230108367	False	1577	25	2	6	5	336333581
37	4229835150	False	2180	64	7	6	25	336333581
38	4229709318	False	2693	6	3	3	17	336333581
39	4229416328	True	2351	64	3	10	25	336333581
40	4229325483	True	2259	28	5	7	12	336333581
41	4229246929	False	2230	64	6	15	11	336333581
42	4229123056	True	2522	64	14	8	27	336333581
43	4229032394	False	3107	67	1	2	12	336333581
44	4227687634	False	2535	35	5	4	11	336333581
45	4227521235	True	5240	6	9	6	26	336333581
