	Match_ID	Status	Duration	Hero ID	Kills	Deaths	Assists	Player ID
0	4245073602	True	2469	101	18	6	11	205562158
1	4243724313	True	2095	101	10	9	7	205562158
2	4243653089	True	2431	16	5	11	24	205562158
3	4243598901	True	1753	34	3	9	4	205562158
4	4242842060	False	1969	59	9	6	9	205562158
5	4242776080	False	2410	74	5	8	13	205562158
6	4242218644	True	2482	74	16	1	14	205562158
7	4239617800	True	1396	17	5	8	2	205562158
8	4239529276	True	2899	13	7	9	10	205562158
9	4238967720	False	3212	45	4	18	24	205562158
10	4238904301	False	1299	9	0	5	6	205562158
11	4238840943	True	1301	98	5	9	5	205562158
12	4238725961	True	2559	2	6	12	18	205562158
13	4234739565	False	2232	2	4	11	20	205562158
14	4234667306	True	1935	107	4	7	13	205562158
15	4233812446	True	1855	107	1	5	8	205562158
16	4233744955	True	2637	86	4	13	20	205562158
17	4221396543	True	1713	106	5	7	13	205562158
18	4221353316	False	1638	7	1	5	2	205562158
19	4221283447	False	1931	12	4	5	6	205562158
20	4221219296	True	2423	12	7	6	9	205562158
21	4220003130	False	2879	86	5	9	25	205562158
22	4219955731	False	2598	114	6	12	14	205562158
23	4219830826	False	2462	1	4	2	2	205562158
24	4219777191	True	2060	5	1	10	26	205562158
25	4218472978	True	2159	86	4	2	16	205562158
26	4218317026	True	1698	96	10	7	19	205562158
27	4216991525	True	2297	7	11	5	22	205562158
28	4216941113	True	1806	19	4	9	5	205562158
29	4215383319	True	2595	112	5	9	15	205562158
30	4213556511	False	3278	10	13	9	28	205562158
31	4213492535	True	1256	110	2	9	2	205562158
32	4052798451	True	1527	32	5	4	2	205562158
33	4034683161	True	3493	7	7	14	33	205562158
34	4034458797	False	2397	41	5	10	10	205562158
35	4033850408	True	3177	32	6	17	13	205562158
36	4033794213	True	3197	28	3	12	15	205562158
37	4033716522	False	3600	32	6	9	20	205562158
38	4033019133	True	2095	32	16	6	19	205562158
39	4032802913	True	2902	110	4	10	17	205562158
40	4032660459	False	2187	100	2	12	16	205562158
41	4032497435	True	2842	32	15	6	21	205562158
42	4032342819	False	3106	32	12	9	24	205562158
43	4031902160	True	3743	32	16	9	30	205562158
44	4031805467	True	2250	110	10	9	6	205562158
45	4031683609	True	2086	110	0	0	1	205562158
46	4031633196	True	1753	17	5	11	10	205562158
47	4030122621	True	3544	106	8	11	22	205562158
48	4030031642	True	3252	110	7	13	18	205562158
49	4028527533	False	2537	56	14	5	15	205562158
50	4028465149	False	1874	74	2	10	3	205562158
51	4028235906	False	2794	110	2	10	27	205562158
52	4028167835	False	2632	110	5	13	25	205562158
53	4028092504	False	2173	110	7	7	25	205562158
54	4026206743	False	3204	110	5	9	27	205562158
55	4026153196	True	2844	32	3	8	11	205562158
56	4026086802	False	2139	93	8	8	5	205562158
57	4025990763	False	3420	21	2	14	16	205562158
58	4019146131	True	2525	106	17	7	21	205562158
59	4018980963	False	2750	21	4	15	23	205562158
60	4018871033	True	2176	57	2	13	13	205562158
61	4018766141	True	2475	90	1	10	16	205562158
62	4017051844	False	2798	74	7	10	14	205562158
63	4016921035	True	2755	71	7	14	31	205562158
64	4016765607	True	2657	49	9	9	11	205562158
65	4016638403	True	2738	73	9	8	19	205562158
66	4016563232	False	2316	108	5	17	23	205562158
67	4015798017	True	3816	41	15	12	26	205562158
68	4015728343	True	2615	73	8	7	8	205562158
69	4015663457	False	2241	70	11	5	16	205562158
