	Match_ID	Status	Duration	Hero ID	Kills	Deaths	Assists	Player ID
0	4249810680	False	2250	14	7	12	10	143220156
1	4249737994	False	2965	26	4	7	11	143220156
2	4249052296	True	1851	14	2	7	7	143220156
3	4247025496	True	1603	9	10	4	11	143220156
4	4245900764	False	2449	104	11	4	9	143220156
5	4245784518	False	3856	86	10	8	26	143220156
6	4242515694	False	3523	62	14	16	20	143220156
7	4241460310	True	3318	48	6	7	14	143220156
8	4241408906	False	2327	94	11	2	10	143220156
9	4241307572	True	2179	14	8	8	19	143220156
10	4241223273	False	2208	9	5	4	22	143220156
11	4239793218	False	2987	86	6	12	22	143220156
12	4233766620	True	2191	7	9	2	19	143220156
13	4233741683	True	621	56	0	2	0	143220156
14	4233689306	True	1911	97	11	0	13	143220156
15	4233635187	True	1922	22	14	3	11	143220156
16	4233402476	True	1512	33	2	1	7	143220156
17	4233278591	True	2109	74	4	9	1	143220156
18	4230091564	True	2231	8	4	8	13	143220156
19	4230003440	True	2528	29	5	6	18	143220156
20	4229808666	True	2513	86	1	8	4	143220156
21	4229579073	True	2220	19	5	7	10	143220156
22	4229283853	True	2698	50	2	4	19	143220156
23	4227988703	True	2312	28	17	4	11	143220156
24	4227721072	False	3292	27	1	17	18	143220156
25	4226590864	False	3920	13	15	8	20	143220156
26	4226538214	True	1724	14	7	4	18	143220156
27	4226142257	True	1989	86	1	9	11	143220156
28	4226035579	True	2182	14	3	5	18	143220156
29	4225484438	False	2139	72	9	9	6	143220156
30	4224637130	True	2516	55	6	9	10	143220156
31	4224561485	False	2049	36	3	6	6	143220156
32	4222665070	True	2189	17	15	3	12	143220156
33	4222592636	True	1740	51	7	11	12	143220156
34	4220399700	False	2865	14	6	15	19	143220156
35	4219082785	False	2636	86	7	9	24	143220156
36	4219042312	False	1678	86	4	7	20	143220156
37	4218877601	True	1925	33	1	2	4	143220156
38	4218838986	False	2304	14	5	16	7	143220156
39	4218809723	True	1880	76	7	10	5	143220156
40	4218012431	False	2443	45	1	12	6	143220156
41	4216497089	False	3467	9	6	8	27	143220156
42	4215925023	True	2574	104	3	12	11	143220156
43	4215879073	True	2428	36	14	9	10	143220156
44	4215282276	False	3204	35	28	6	14	143220156
45	4213185408	True	2175	86	5	10	29	143220156
46	4210414587	True	2947	86	7	10	14	143220156
47	4196652544	False	2175	14	8	11	15	143220156
48	4195086713	False	4228	86	7	12	34	143220156
49	4190096206	True	2885	104	6	7	12	143220156
50	4186672860	False	3190	56	6	13	7	143220156
51	4186643058	False	2392	9	7	6	20	143220156
52	4184640765	False	3845	14	10	12	29	143220156
53	4172121043	True	2749	9	4	12	24	143220156
54	4161988850	False	2216	67	12	4	20	143220156
55	4128240053	True	3328	11	17	9	24	143220156
56	4126625611	False	3722	86	5	11	37	143220156
57	4122086138	True	1927	28	3	5	3	143220156
