	Match_ID	Status	Duration	Hero ID	Kills	Deaths	Assists	Player ID
0	4250311406	True	2594	14	14	15	19	213648575
1	4250219142	True	2180	74	10	9	7	213648575
2	4243379672	True	1958	109	9	3	11	213648575
3	4243332354	False	2094	44	6	7	2	213648575
4	4234429028	True	1892	19	25	3	10	213648575
5	4232833234	True	1844	17	10	11	1	213648575
6	4232782782	True	1680	74	7	7	5	213648575
7	4232714500	True	2225	76	6	9	9	213648575
8	4232596922	True	1894	59	8	6	9	213648575
9	4229062212	True	1928	1	17	3	11	213648575
10	4228986584	False	2032	32	1	7	10	213648575
11	4223670065	True	2605	2	18	15	18	213648575
12	4223593836	True	2496	17	19	10	19	213648575
13	4218907571	False	4253	17	14	9	28	213648575
14	4217490632	True	3155	23	12	10	16	213648575
15	4217429321	True	2573	9	27	8	23	213648575
16	4216043691	False	3439	23	11	12	20	213648575
17	4215989756	True	2021	17	6	12	7	213648575
18	4215942508	True	2806	25	31	8	12	213648575
19	4215887568	False	2637	74	9	12	12	213648575
20	4210166330	True	2869	35	6	12	17	213648575
21	4210096461	False	2537	104	1	9	11	213648575
22	4209933667	False	1796	2	4	9	3	213648575
23	4202955730	True	1957	70	2	12	3	213648575
24	4202889718	True	1898	34	10	6	14	213648575
25	4202808713	True	1651	14	3	5	14	213648575
26	4202737766	True	2213	1	8	4	13	213648575
27	4202626096	True	3870	74	11	4	27	213648575
28	4201001243	False	1887	74	10	10	5	213648575
29	4200213190	True	2837	18	4	11	9	213648575
30	4198979248	True	3116	13	7	8	26	213648575
31	4190363725	True	3382	17	15	6	26	213648575
32	4187062251	False	3024	11	21	10	7	213648575
33	4187020806	True	2005	8	4	10	4	213648575
34	4182451763	False	2630	17	15	11	20	213648575
35	4180027116	False	2532	93	6	10	14	213648575
36	4179930586	True	2395	74	2	11	14	213648575
37	4179795745	True	2108	35	5	11	7	213648575
38	4127019980	True	2281	95	15	13	11	213648575
39	4115086769	True	3179	1	26	7	12	213648575
40	4108043477	True	3424	6	7	12	8	213648575
41	4107371738	False	3326	67	12	8	20	213648575
42	4107093271	False	4371	35	18	15	15	213648575
43	4107007117	True	1702	51	5	3	14	213648575
44	4105630272	False	3186	34	18	10	25	213648575
45	4097689707	True	3044	121	14	15	9	213648575
46	4097617987	False	2802	17	17	5	20	213648575
47	4096883503	True	3935	38	5	11	29	213648575
48	4096770567	False	2088	7	2	10	10	213648575
49	4096543576	True	4251	17	13	9	31	213648575
50	4096399290	False	2312	93	16	5	17	213648575
51	4095164798	True	1848	96	1	14	12	213648575
52	4095071697	True	3494	4	15	14	24	213648575
53	4094792693	True	3016	1	12	9	7	213648575
