,Cx,Cy,blockID
0,-87.62943299025662,41.768168026399366,170316903002010
1,-87.6344875368718,41.773542241386515,170316809003007
2,-87.63591099147399,41.77306141776166,170316809003013
3,-87.73804465443219,41.859825731386344,170312909004019
4,-87.73114453500962,41.8558696556287,170312925004016
5,-87.73103316032017,41.85786558201218,170312925004000
6,-87.7045745547779,41.850579871575654,170313009002003
7,-87.69865920650669,41.850784021083875,170318407002002
8,-87.68928469666467,41.85291330990583,170318407003019
9,-87.67522350317003,41.696127200659866,170317502003005
10,-87.65022686721852,41.723431671407404,170317302023021
11,-87.64948394644311,41.72395028310985,170317302021034
12,-87.65154734320205,41.70045190590769,170317307002042
13,-87.65133980702494,41.69897351183744,170317501002002
14,-87.68322433983016,41.77802953318599,170316607001020
15,-87.67288089963502,41.77481052657345,170316713001021
16,-87.67643349424608,41.78174506220546,170316705001049
17,-87.73282162914141,41.79918285651328,170315705001020
18,-87.76890751943861,41.79903827258281,170315608002002
19,-87.71045825578602,41.704227163655844,170317402004007
20,-87.71320769982917,41.70486433785463,170317402004011
21,-87.68775319241827,41.69627885379162,170317503003008
22,-87.68703795517582,41.70289707149178,170317205001022
23,-87.70814899061057,41.74857076220247,170317004011012
24,-87.70674240033442,41.763179317924674,170316611004013
25,-87.70841370883801,41.768582876703945,170316609003010
26,-87.73069907123146,41.778343360709215,170316503011001
27,-87.74354267539734,41.798830767204166,170318352001032
28,-87.75632320969004,41.79546301983014,170315607001001
29,-87.78506384400711,41.78151147123597,170316404001017
30,-87.78661053668738,41.78217204317308,170316404002031
31,-87.78697398524484,41.78339600088839,170316404002019
32,-87.80047306090349,41.78929352271237,170315610006010
33,-87.67534204391876,41.72560404216953,170317201001002
34,-87.6405131663367,41.66276893060519,170315305033025
35,-87.64000922916856,41.66600084401004,170315305032044
36,-87.70821880303663,41.739886583581395,170317004023014
37,-87.72132348548013,41.74080880763802,170317004021004
38,-87.72363507572452,41.74706957550015,170317003011011
39,-87.71812264420498,41.74612318599515,170317004012025
40,-87.71817911470234,41.747501167596745,170317004012019
41,-87.6442299695562,41.74609146485145,170317108002011
42,-87.64100655232663,41.75088305850243,170317101001023
