X,Y,OBJECTID_1,OBJECTID,BFD_ID,MAP_ID,MAPCODE,LOCCODE,LOCDEPT,LOCNAME,LOCCONTACT,LOCPHONE,LOCSTNO,LOCADDR,LOCOWNER,LOCWARD,LOCPARCL,LOCPRECT,LOCPLAN,STUDY,ABOVE,ABOVE_DESC,SOURCE,GEOADDRESS,PD,CT90,XCOORD,YCOORD
-71.119848464786287,42.255141654920195,24,24,24,058,2,026,BFD,"ENGINE CO. 48, 28","Cptn. Porter, Ltnt Rushton",725-2848,60,FAIRMOUNT AVE,BFD,18,06009, ,F,T,1,(1) 500g Diesel,FP,60 FAIRMOUNT AVE,HYDE PARK,1403,71120552,42254992
-71.131241735357094,42.236792276083357,25,25,25,059,2,027,BFD,ENGINE CO. 49,Cptn. Tom Mortell,725-2849,209,NEPONSET VALLEY PKWY,BFD,18,00000, ,F,T,2,(2)275g FO,PD,205 NEPONSET VALLEY PKWY,HYDE PARK,1402,71132099,42236826
-71.061127138627782,42.374239353655959,26,26,26,045,2,028,BFD,ENGINE CO. 50,Cptn. John Varner,725-2850,34,WINTHROP ST,BFD,02,00000, ,F,T,2,(2)275g FO,P,34 WINTHROP ST,CHARLESTOWN,401,71061958,42374147
-71.16816281093746,42.351276472128063,27,27,27,035,2,029,BFD,ENGINE CO. 51,Cptn. Mozocca,725-2851,425,"FANEUIL ST, OAK SQ",BFD,22,05003, ,F,T,1,(1)1000g FO in bsment,FP,"425 FANEUIL ST, OAK SQ",ALLSTON/BRIGHTON,003,71168639,42351034
-71.089696717155348,42.290901919213624,28,28,28,062,2,030,BFD,"ENGINE CO. 52, 29","Frftr Bowden, Cptn Noonan",725-2852,975,BLUE HILL AVE,BFD,14,00000, ,F,T,0, ,FP,975 BLUE HILL AVE,MATTAPAN,1001,71089993,42290901
-71.117496244389997,42.279019859443721,29,29,29,063,2,031,BFD,"ENGINE CO. 53, 16",Cptn. Sullivan,725-2853,945,CANTERBURY ST,BFD,18,03006, ,F,T,0, ,FPA,945 CANTERBURY ST,ROSLINDALE,1102,71117687,42278832
-71.154852851153478,42.263981769278068,30,30,30,074,2,032,BFD,ENGINE CO. 55,Cptn. George Cohen,725-2855,5115,WASHINGTON ST,BFD,20,00603, ,F,T,0, ,FPI,5115 WASHINGTON ST,WEST ROXBURY,1304.01,71155614,42262985
-71.004186071647595,42.387748835576645,31,31,31,055,2,033,BFD,"ENGINE CO. 56, 21",Cptn. James Famolare,725-2856,1,ASHLEY ST,BFD,01,00000, ,F,T,0, ,OF,1 ASHLEY ST,EAST BOSTON,511,71004487,42387724
-71.114400188898841,42.310575275244631,32,37,37,060,2,042,BFD,"ENGINE CO. 28, 10 (Division 2 Headquarters)", ,,746,CENTRE ST,BFD,19,00000, ,F,F,0, , ,746 CENTRE ST,JAMAICA PLAIN,1204,71115365,42310280
-71.052997547304344,42.355091720495523,33,38,38,043,2,043,BFD,ENGINE CO. 10,Cptn O'Donnell,725-2810,125,PURCHASE ST,PRI,03,00000, ,F,F,0, , ,125 PURCHASE ST,CENTRAL,701,71053770,42354808
-71.069634250620183,42.331319234039675,34,0,0, , , ,BFD,AIR SUPPLY UNIT, ,,115,SOUTHAMPTON ST, , , , , , ,0, , , , , ,0,0
-71.04966409719745,42.3666432197885,36,,,,,,,,, ,,50 Battery Wharf,,,,,,,,,,50 Battery Wharf,CENTRAL,,,
